cl_ord_id,symbol,side,order_qty,order_type,limit_px,strategy,sent_ts
ORD-1001,AAPL,BUY,1000,LIMIT,190.25,STAT_ARB,2026-06-14 09:30:01
ORD-1002,MSFT,SELL,500,LIMIT,420.1,STAT_ARB,2026-06-14 09:31:05
ORD-1003,TSLA,BUY,200,MARKET,,MOMENTUM,2026-06-14 09:35:11
ORD-1004,NVDA,BUY,150,LIMIT,900.0,MOMENTUM,2026-06-14 09:38:44
ORD-1005,AMZN,SELL,300,LIMIT,180.5,PAIR_TRADE,2026-06-14 09:40:03
ORD-1006,META,BUY,1000,LIMIT,500.0,PAIR_TRADE,2026-06-14 09:42:21
ORD-1007,JPM,SELL,600,LIMIT,205.3,RISK_REBAL,2026-06-14 09:45:01
ORD-1008,IBM,BUY,400,LIMIT,190.0,RISK_REBAL,2026-06-14 10:00:00
ORD-1009,ORCL,BUY,250,LIMIT,130.25,STAT_ARB,2026-06-14 10:05:00
ORD-1010,ADBE,SELL,120,LIMIT,475.1,MOMENTUM,2026-06-14 10:12:00
ORD-1011,CRM,BUY,350,LIMIT,250.0,PAIR_TRADE,2026-06-14 10:15:00
ORD-1012,GOOG,BUY,100,LIMIT,175.0,STAT_ARB,2026-06-14 10:20:00
ORD-1013,AMD,SELL,800,LIMIT,160.0,MOMENTUM,2026-06-14 10:25:00
ORD-1014,INTC,BUY,1000,LIMIT,33.0,RISK_REBAL,2026-06-14 10:30:00
